threshold,recall,f2,f1,precision,accuracy,roc_auc,average_precision,brier,tp,tn,fp,fn,meets_min_recall
0.5599999999999999,0.3690655781347058,0.31812688359569813,0.2635614702154626,0.20496771967867528,0.7896061338475048,0.6524730459703898,0.20383803148354168,0.22663342224390717,4159,83068,16132,7110,False
0.57,0.3506078622770432,0.3092807715189279,0.26281305085309475,0.2101819342483243,0.7993554752917108,0.6524730459703898,0.20383803148354168,0.22663342224390717,3951,84353,14847,7318,False
0.58,0.3342798828644955,0.3012202338115115,0.26230763874382007,0.21583681888500544,0.80819958540405,0.6524730459703898,0.20383803148354168,0.22663342224390717,3767,85514,13686,7502,False
0.59,0.3199929008785163,0.2939450259219407,0.2619592459409393,0.2217439429344484,0.816066045677973,0.6524730459703898,0.20383803148354168,0.22663342224390717,3606,86544,12656,7663,False
0.6,0.3048185287070725,0.2851995151193105,0.26008934655864313,0.2268075272367118,0.8230815884999412,0.6524730459703898,0.20383803148354168,0.22663342224390717,3435,87490,11710,7834,False
0.61,0.28955541751708225,0.2755632875046448,0.256939249576755,0.23092710544939846,0.8291556907367678,0.6524730459703898,0.20383803148354168,0.22663342224390717,3263,88333,10867,8006,False
0.62,0.2770432159020321,0.26761988033396766,0.25462849685996247,0.2355693050630046,0.8345418171613755,0.6524730459703898,0.20383803148354168,0.22663342224390717,3122,89069,10131,8147,False
0.63,0.26621705563936465,0.2607743258983676,0.25301509656742854,0.24106066693451186,0.8396473218731046,0.6524730459703898,0.20383803148354168,0.22663342224390717,3000,89755,9445,8269,False
0.6399999999999999,0.2535273759872216,0.25189116749836893,0.24947607404820119,0.24555221314997852,0.844390734052087,0.6524730459703898,0.20383803148354168,0.22663342224390717,2857,90422,8778,8412,False
0.6499999999999999,0.2407489573165321,0.24247895179021503,0.24512106975063244,0.24965491856078034,0.8487358444450479,0.6524730459703898,0.20383803148354168,0.22663342224390717,2713,91046,8154,8556,False
0.6599999999999999,0.2308989262578756,0.23551347730852085,0.24279182607072874,0.255976389572061,0.8530809548380088,0.6524730459703898,0.20383803148354168,0.22663342224390717,2602,91637,7563,8667,False
0.6699999999999999,0.220250244032301,0.22728521455650996,0.23872270847359817,0.2605774278215223,0.8567018801654763,0.6524730459703898,0.20383803148354168,0.22663342224390717,2482,92157,7043,8787,False
0.6799999999999999,0.21155382021474842,0.22055694328800074,0.23559640280660143,0.26580443750696847,0.8599607129601969,0.6524730459703898,0.20383803148354168,0.22663342224390717,2384,92615,6585,8885,False
0.69,0.20188126719318483,0.21273611370862167,0.2313990744037024,0.27102692399332856,0.8631923888149616,0.6524730459703898,0.20383803148354168,0.22663342224390717,2275,93081,6119,8994,False
0.7,0.19407223356109682,0.20659751742900867,0.22874176341386884,0.2784922959378581,0.8664964831762757,0.6524730459703898,0.20383803148354168,0.22663342224390717,2187,93534,5666,9082,False
0.71,0.18244742213151122,0.19641935915318035,0.22191041554236374,0.2831565900013772,0.8694837465714363,0.6524730459703898,0.20383803148354168,0.22663342224390717,2056,93995,5205,9213,False
0.72,0.16860413523826426,0.18396591789310612,0.2130880951045814,0.2894576477757465,0.8729688871991237,0.6524730459703898,0.20383803148354168,0.22663342224390717,1900,94536,4664,9369,False
